,file_contents
4751,"“and hari, why don’t you have some /addoos i made.”
"
4752,"ryan and i jumped on the boxes before she finished her sentence.
"
4753,"“mom but still,’ alok said.
"
4754,"“keep quiet. look didi also sent this new pair of jeans for you. she saved her pocket
"
4755,"money you know,” she said, passing a brown bag.
"
4756,"“thanks mom. i'll keep it for a special occasion,” alok said.
"
4757,"“but at least try it now. come get up,” alok’s mom said.
"
4758,"“no mom. ill do it later,” alok said.
"
4759,"“what later? we can change size now if it doesn’t fit. don’t be lazy get up,” alok’s mom
"
4760,"said, shaking alok’s leg. iam sure that hurt.
"
4761,"“no mom,” alok said, clenching his teeth.
"
4762,"“get up,” alok’s mom insisted, pulling the bed sheet off him. she shouldn’t have. for
"
4763,"alok still had the signs — plaster casts covered both thighs and legs. the feet still showed
"
4764,"marks where doctors had done the stitches. it was something even we didn’t fancy seeing.
"
4765,"“oh my god,” alok’s mom said as her face dropped along with her hands. “mom please,”
"
4766,"alok said, pushing her away and wishing she had never come.
"
4767,"alok’s mom felt nauseous and ryan had to help support her back to a chair. i gave her a
"
4768,"glass of water.
"
4769,"“what is going on? will someone please tell me?” she said.
"
4770,"ryan looked at me. it was time for us to leave the room.
"
4771,"“we'll go downstairs. we'll say hello to uncle and say alok 1s in the lab. okay aunty?”
"
4772,"she nodded, her eyes filling with tears. could any male in her family stand up on his own
"
4773,"legs?
"
4774,"“easy mom. it was a scooter accident that night...” alok said as we shut the door behind
"
4775,"them. i was sure she’d know he was lying. a scooter accident with ryan and me perfectly
"
4776,"fine was somewhat unbelievable. we saw her leave after half an hour, wiping her tears. we
"
4777,"stood by the auto, trying to make conversation with alok’s dad. he was in a happy mood,
"
4778,"probably enjoying his rare day out.
"
4779,"“alok busy eh?” he said, pursing his lips.
"
4780,"“yes. they have an important project,” alok’s mom said, sitting in the auto.
"
4781,"“bye aunty,” ryan and i waved.
"
4782,"“back to rohini madam?” the auto driver said, starting the scooter.
"
4783,"“no. take me to the mechanical engineering department.”
"
4784,"“aunty?” we chorused.
"
4785,"“there are things which a mother can sense, even though her son may not talk about it. i
"
4786,"want to meet your prof veera before i go home,” she said as the auto buzzed off.
"
4787,"“she’ll find out. she’ll find out about the disco,” i said, shaking ryan’s shoulder.
"
4788,"“let her. she deserves it,” ryan said as he put his arm around me.
"
4789,"we went to sasi’s for breakfast after alok’s mom left.
"
4790,"“t have to make my call today,” i said.
"
4791,"“is she real mad at you?” ryan said.
"
4792,"“she was a month ago. she’s got to miss me right?” i said.
"
4793,"“t don’t know. what is the whole deal about missing people and not doing anything about
"
4794,"it anyway?” ryan said, and took out a brown envelope from his jeans pocket.
"
4795,"sasi served a plate of paranthas. ryan left the letter on the table and started tearing up the
"
4796,"hot paranthas.
"
4797,"“tt is so different when you come and eat here without alok. there is no frantic urgency
"
4798,"about eating,” ryan said.
"
4799,"“ts that a letter from home?” i said.
"
4800,"“if you say so. where are they now — la or something,” ryan said.
"
4801,"“how often do your parents write?” i said.
"
4802,"“used to be every week, then once in two weeks. now they write once a month,” ryan
"
4803,"said, smothering each chunk of parantha with yellow butter.
"
4804,"“do you write back?” i said.
"
4805,"“no. not unless it is a couriered letter. in that case the delivery guy asks me to write a
"
4806,"few lines right there.”
"
4807,"“so what is the deal here ryan? i mean, they are just abroad trying to make a buck. what
"
4808,"have you got against them?”
"
4809,"“t have nothing against them. i am just indifferent. i need another parantha.”
"
4810,"“shut up. how can that be? i mean, how come you save all their letters? i saw them,
"
4811,"hundreds next to your vodka stash.”
"
4812,"ryan stopped chewing. “it 1s too complicated. i don’t want to talk about it.”
"
4813,"“you won’t talk to me?”
"
4814,"“they are too strange. i kept telling them let us stay together after my boarding school.
"
4815,"but the international business was really taking off then and they had to leave. i guess what i
"
4816,"wanted was never in the picture. so, okay i get the dollar cheque, thank you. but spare me
"
4817,"the we-miss-you shit. if you do, what the hell are you going to do about it?”
"
4818,"“did you tell them about the disco?” i said.
"
4819,"“are you crazy?” ryan said.
"
4820,"“you know, you could join their business after iit. i mean, you know what our job scene
"
4821,"will be. but you won’t have to worry.”
"
4822,"“no way in hell,” ryan said, and clenched his hands. “never. i will open a parantha
"
4823,"shop, become a coolie, wash cars but i am not going to go to them.”
"
4824,"“they are your parents...”
"
4825,"he gave me a dirty look. “so thank you very much. i am going back to alok. you have a
"
4826,"good time with your girl.”
"
4827,"“ryan, could you give up your lube project right when it was about to become
"
4828,"successful?” i said.
"
4829,"“what?”
"
4830,"“answer me,” i said.
"
4831,"“that is the only good thing i ever did in iit. it is my passion, my sweat, and my belief.
"
4832,"no, how could i give it up?”
"
4833,"“maybe this pottery business 1s your parents’ lube project,” i said as i stood up too.
"
4834,"he picked up his letter again and walked away.
"
4835,"“reply to it ryan,” i shouted across the road.
"
4836,"he put the letter back 1n his pocket.
"
4837,"“neha, 1s that you?” i said, even though i was a hundred percent sure it was.
"
4838,"“hari?” she said, her voice unable to hide the fact that she was expecting this call.
"
4839,"“before you hang up, can i just say something?” i was suitably humble.
"
4840,"“t am not hanging up. what do you want to say?” she said.
"
4841,"“t miss you. and i love you. god, i was so close to you and then i blew it up. i wanted an
"
4842,"a in your dad’s course. i thought i could impress him. somehow, in our twisted minds we
"
4843,"planned this operation pendulum. and they did a disco on us, ruined our lives. and now
"
4844,"you also don’t want to talk to me...”” my voice dwindled to a whisper.
"
4845,"“hari?”
"
4846,"“what?”
"
4847,"“t missed you too.” she broke into tears.
"
4848,"i wished i could cry too. but her words made me too happy. i mentally hi-fived myself
"
4849,"and tried to control my elation. keep serious tone, keep serious tone, i told myself.
"
4850,"“oh neha, don’t cry,” i said, probably to make her cr y a bit more. i can’t tell you how
"
4851,"good it feels when a girl cries because she missed you.
"
4852,"“t can’t hari. i can’t forget you. why did you do those things?” she said.
"
4853,"okay, this is progress, i thought. from ‘how could you’ to ‘why did you’ 1s not bad.
"
4854,"twisted they may be, but i did have my reasons. and i didn’t have to give them all now.
"
4855,"“t can explain more. can we meet? just for ten minutes,” i said.
"
4856,"“should we? i mean, dad made me swear i’d never see you,” she said.
"
4857,"now how does one answer that? i tried to think of some rational premise on which
"
4858,"swears to dad could be broken. nothing came to mind.
"
4859,"“t miss you, neha,” i said. when in doubt, be sappy.
"
4860,"“t miss you too. can you come to the ice-cream parlour at two,” she said.
"
4861,"“sure. but on one condition,” i said.
"
4862,"“what?”
"
4863,"“can we not have strawberry this time? i like chocolate more,” i said.
"
4864,"“shut up, hari,” she said, unable to hide a laugh. there, i had done it. tears to titters in
"
4865,"one call. plus, a tiny date thrown in too. i did a mini jig at the public phone booth, which
"
4866,"made the other customers in the shop think i had won a lottery.
"
4867,"“see you then,” i said and hung up the phone. i heard the coin go in. what a wonderful
"
4868,"way to spend a rupee.
"
4869,"neha stayed at the ice-cream parlour for two hours, twelve times more than the ten minutes
"
4870,"she had come for. by the end, i’d told her everything. she couldn’t really remain upset for
"
4871,"too long. i guess it could be because i bought strawberry as well as chocolate, but maybe it
"
4872,"was because she was just happy to see me. we fixed the next date for a week later, and soon
"
4873,"we were back in the ‘fix the next date on the previous’ cycle. it helped me pass all the idle
"
4874,"time 1n the dropped semester. we worked eight hours a day in prof veera’s lab, sometimes
"
4875,"ten or twelve. ryan worked longer, even up to sixteen. he ripped open his scooter for
"
4876,"experimentation, making it a pain to move around in the insti. alok used crutches for a
"
4877,"month and then got by with a limp. prof veera liked the second proposal a lot, and he kept
"
4878,"informing the dean of the progress we were making. he never brought up the issue of a
"
4879,"clean grade sheet or extra credits, but we knew there was little chance until we finished the
"
4880,"proposal. we gave the final draft to prof veera one week before the semester ended. it was
"
4881,"two hundred pages, and from ryan, alok and i this time.
"
4882,"“wow. this is a fat proposal,” prof veera said.
"
4883,"“tt’s literally the whole study. we have isolated the optimum mix already,” ryan said.
"
4884,"“i know. this is way beyond a proposal,” prof veera said as he flipped through the
"
4885,"pages, “i cannot believe the four months are over.”
"
4886,"“me neither. i guess it will be time to attend classes again,” i said.
"
4887,"“and loads of them. maximum credits this time, and i am not skipping any more,” alok
"
4888,"said.
"
4889,"“me neither, right ryan?” i said.
"
4890,"“yeah. pll come along as well,” ryan said, “so prof veera, what do we do with this
"
4891,"tome now?”
"
4892,"“well,” prof veera said, putting the proposal on his desk, “let me take a final read and
"
4893,"unless there are big corrections, i’ll just submit it. good job and take your week off before
"
4894,"your loaded semester begins.”
"
4895,"“and the credit and grade sheet, sir,” alok prompted.
"
4896,"“later guys. it depends on the reception to the proposal. don’t be too optimistic, but we
"
4897,"shall see,” prof veera said.
"
4898,"we left his office, leaving our work of three months. it could get us nowhere, but we had
"
4899,"given it our best shot. the final sem began on jan 5, just a week from now. and six days
"
4900,"later, on the eleventh, was my big date with neha, when she would be free for the whole
"
4901,"day. if she would let me come to her home again, i thought.
"
4902,"25
"
4903,"a day of letters
"
4904,"the first day of our final semester felt as special as the first day of
"
4905,"classes in the institute. we got up at six-thirty for the eight 0’ clock class. ryan took a
"
4906,"shower and then proceeded to carefully comb his hair for the next twenty minutes.
"
4907,"even then we made it before class began. it was prof saxena’s ‘refrigeration and air-
"
4908,"conditioning’ or rac class. he was a senior prof, and touted to be next in line for head of
"
4909,"the department. that 1s, if cherian moved on to something else, retired or just died. none of
"
4910,"that was imminent as of now so prof saxena was content teaching final year students how to
"
4911,"keep things cool. we were the first students to arrive, and he was already in the class.
"
4912,"“welcome, welcome,” prof saxena said, “now this is a surprise. who would have
"
4913,"thought fourth year students will reach early for class.”
"
4914,"i guess he was right. in the final semester, people were more interested preparing for job
"
4915,"interviews and mba admissions. we hadn’t even bothered to see which companies were
"
4916,"recruiting this time, for we didn’t know if we were getting a degree this year.
"
4917,"“good morning, sir,’ ryan said as we took front row seats. we were sitting in a
"
4918,"classroom after four months. a blackboard never looked so great. i wondered when the
"
4919,"class would begin.
"
4920,"“what are your names?” prof saxena asked.
"
4921,"“t have heard those names,” he said after we told him. his forehead developed creases as
"
4922,"he tried to remember.
"
4923,"“we had a disco last semester, sir. you were part of the committee,” ryan said.
"
4924,"“oh yes,” prof saxena said, “yes, the cherian case. so, this must be your first class in
"
4925,"months.”
"
4926,"we nodded solemnly.
"
4927,"“that explains it. so, what is your situation? will you be graduating on time?” prof
"
4928,"saxena said. i couldn’t say if there was real concern in his voice or if he was just passing
"
4929,"time before class.
"
4930,"“we are five credits short, sir. even though we have loaded up courses for this semester,”
"
4931,"alok said.
"
4932,"“how many courses do you have?”
"
4933,"“six,” i said.
"
4934,"“wow. most final semester students do just two. and that too they hardly attend class.
"
4935,"you will be in classes all day,” prof saxena said.
"
4936,"“yes sir. no choice.” i shrugged.
"
4937,"“have you talked to cherian about credits?” prof saxena said.
"
4938,"“prof veera is trying for us,” i said.
"
4939,"“hmm. anyway, the system is harsh. look at you boys, could have got a job even with
"
4940,"your low gpas. lots of software companies this time. but this disco might spoil your entire
"
4941,"degree,” prof saxena said.
"
4942,"a few other students trickled 1n over the next few minutes. i think there were ten of us in
"
4943,"class, while over thirty had signed up for the course. i remembered earlier eight a.m.
"
4944,"classes, how we never attended them even 1n the second and third years. but right now, i
"
4945,"couldn’t wait to learn.
"
4946,"“third law of thermodynamics,” prof saxena said as he got up to turn to the blackboard.
"
4947,"ryan, alok and i took out our pens and jotted down every word the prof spoke for the
"
4948,"next hour.
"
4949,"i met neha a couple of weeks into the final semester. for the first time, i had to scramble to
"
4950,"make it for a date. i had to finish five assignments on the weekend, not to mention revise
"
4951,"notes for the coming minor tests. i couldn’t afford to fail in any course, and somehow i had
"
4952,"this big urge to learn a lot in my final days at iit. but a date with neha was a date with
"
4953,"neha, so stapling my sheets for the ergonomics assignment, i ran out to the ice-cream
"
4954,"parlour.
"
4955,"“twenty minutes late! do you realize you are twenty minutes late?” neha said.
"
4956,"“sorry, this assignment...”
"
4957,"“t have to go back early today. dad’s elder brother and family are coming for dinner. dad
"
4958,"is going mad preparing for them. and since when were you into assignments so much?” she
"
4959,"hadn’t removed hands from hips.
"
4960,"“t don’t know. just don’t want to take any chances. can i buy you an ice-cream?”
"
4961,"“no thanks. i have already had one waiting for you. and with my relatives home tonight,
"
4962,"there will be a big meal. and i am trying to reduce,” she said.
"
4963,"“reduce what?” i asked.
"
4964,"“my weight,” she said.
"
4965,"“really? why? you look great,” i said.
"
4966,"“no way. you should see the girls in my college. anyway, what have you been up to?”
"
4967,"she said.
"
4968,"“classes, classes and more classes. eight to six ever y day. then another three hours in
"
4969,"the library. then another two for assignments and revisions. i am going mad. but what to
"
4970,"do? never had this much course-load before.”
"
4971,"“what about ryan and alok?” she said.
"
4972,"“they are equally overworked. and we’ll still fall short of credits,” i said.
"
4973,"“what about your c2d, the whole cooperate to dominate...”
"
4974,"“that was all crap. it doesn’t work that way neha. i know it doesn’t. i might be busy
"
4975,"now, but at least i am learning something. i am not just cogging assignments and beating the
"
4976,"system. that 1s not what it is about.”
"
4977,"“wow, my loafer has become all serious. what 1s it about then?” her voice went playful,
"
4978,"always a good sign.
"
4979,"“tt 1s about knowledge. and making the most of the system, even if it has flaws. and it is
"
4980,"about not listening to bloody ryan all the time,” i said.
"
4981,"“you are getting all wise. i miss my loafer,” she said.
"
4982,"i became quiet and looked into her eyes. then, in one instant i got up and kissed her on
"
4983,"the lips.
"
4984,"“hari! are you crazy? people know me here,” she said.
"
4985,"“just to let you know the loafer 1s still there,” i said.
"
4986,"“yeah right. anyway, look what i got,” she said and took out a piece of paper from her
"
4987,"bag.
"
4988,"“tt’s your brother’s letter,” i said.
"
4989,"“yes, his last. i want you to keep it,” she said.
"
4990,"“why?” i said. it was a weird gift, to say the least.
"
4991,"“t don’t know. dad doesn’t trust me anymore. and he comes and searches my room now
"
4992,"and then. i don’t want him to find this.”
"
4993,"“really? is he giving you a lot of trouble?” i said.
"
4994,"“not much. i just don’t speak to him much. i did hear him talk about you guys the other
"
4995,"day though.”
"
4996,"“what? where?”
"
4997,"“tl tell you. will you keep my letter then?”
"
4998,"“you know i will. what did he say?”
"
4999,"“dean shastri came home the other day. they were talking about this proposal.”
"
5000,"“the lube project,” i said.
"
5001,"“yes, something like that. prof veera had given each of them a copy. dean shastri was
"
5002,"quite impressed with the findings.”
"
5003,"“what did your dad say?” i said.
"
5004,"“t don’t think you want to hear it,” she said.
"
5005,"“no tell me,” i fairly shouted. why do girls take so long to come to the point?
"
5006,"“he said it was an okay-ish effort. but he told dean shastri not to trust these students. he
"
5007,"said, ‘who knows? they have cheated once, they could have cheated to make the findings.
"
5008,"they just want their credits,’ and that was it.”
"
5009,"“complete crap. that 1s complete crap. you know neha, how much we worked our asses
"
5010,"off on it.”
"
5011,"“t know. but that 1s what he said. and dean shastri told him to think about it some more.”
"
5012,"i put the letter on the table. i spread it out; samir’s last words. someone so sick of his
"
5013,"father’s desire to get him into iit that he preferred death. i wondered how much a train
"
5014,"passing over you could hurt.
"
5015,"“two large bricks of strawberry please,” i heard a voice 1n the background.
"
5016,"“hello cherian sahib. what happened, big guests tonight?” the counter boy said.
"
5017,"“yes, my brother is coming from canada. he loves ice-cream,” i heard prof cherian’s
"
5018,"voice.
"
5019,"i froze at my table, like all the flavors of ice-cream in the fridge. neha froze too. we
"
5020,"were sitting right opposite him, and couldn’t run out of the parlour. we silently prayed he
"
5021,"wouldn’t see us. but this was cherian. a reflection on the steel counter frame was enough.
"
5022,"“neha!” he turned toward us. i think all the ice-cream 1n the parlour melted at that tone.
"
5023,"neha didn’t say anything. i didn’t move. i recalled last seeing cherian when he was head
"
5024,"of the disco. will he ruin me again? i hadn’t even ordered my ice-cream.
"
5025,"cherian came and sat next to me. my heart raced as it attempted to leave my body and
"
5026,"escape the parlour.
"
5027,"“you have guts. you bloody rascal, you do have guts,” cherian said as he stared at me.
"
5028,"neha cleared her throat but he signaled her to keep quiet.
"
5029,"“sir, [ just... sir...just had to...sir just ran into her,” i said, talking and thinking at the same
"
5030,"time.
"
5031,"“are you bluffing me again?” cherian banged his fist on the table. it landed on the open
"
5032,"letter and almost tore it.
"
5033,"“dad, be careful,” neha said as she tried to push his angry fist away.
"
5034,"“what 1s this?” cherian said.
"
5035,"neha opened her palms and covered the letter.
"
5036,"“nothing. it is nothing, dad,” she said.
"
5037,"“what is it, you rascal?” cherian said looking at me, his fist still firmly on the letter,
"
5038,"“love letters you write to trap my daughter. i told you to stay away from her. so one disco
"
5039,"wasn’t enough?”
"
5040,"“tt is samir’s letter,” i said.
"
5041,"“hari, shut up,” neha said, as a reflex.
"
5042,"i don’t know why i said it. but i wasn’t going to repeat it.
"
5043,"“what did he say?” prof cherian said.
"
5044,"neha and i kept silent.
"
5045,"“remove your hands, neha,” cherian said and glared at her. she withdrew her hands,
"
5046,"only to bring them to her face to wipe her tears. cherian picked the letter up and read it
"
5047,"silently.
"
5048,"he tried hard to retain his composure, but his eyes contracted and his fingers started to
"
5049,"shiver. he read the letter again and again and then again. the two bricks of ice-cream he
"
5050,"had bought were melting and creating a puddle on our table. but, the puddles in cherian’s
"
5051,"mind were causing us more concern. he removed his glasses, his eyes then did the
"
5052,"unthinkable. yes, here he was, the head of our department, the tormentor of my life and his
"
5053,"eyes had just become wet. two fat tears squeezed out of the edges. and there i was, sitting
"
5054,"with the cherian family as they cried. i could have joined in, but i wasn’t in the mood.
"
5055,"besides, ice-cream parlours are hardly the place for group cries.
"
5056,"“dad, are you all right?’ neha said, wiping her tears.
"
5057,"her father then cried uncontrollably. it was strange to see a grown-up man cry. i mean,
"
5058,"you expect them to make you cry. i wished ryan were here.
"
5059,"“let’s go home, dad,” neha said as she got up.
"
5060,"cherian surrendered himself to his daughter. i gave neha the bag of ice-cream, mostly a
"
5061,"syrupy mass now. her father kept kissing the letter.
"
5062,"they left the parlour and i hadn’t gotten a chance to fix my next date with neha. but i felt
"
5063,"damn lucky to survive meeting cherian again. neha drove the car with her dad still sobbing
"
5064,"in the front seat.
"
5065,"“sir, are you going to pay for that ice-cream?” the counter boy asked me.
"
5066,"“you mean cherian was in tears. like real crying-crying?” ryan was disbelieving.
"
5067,"“howling man, with hands on face and lots of tears right until he left. damn it, i had to
"
5068,"pay for two bricks of ice-cream.”
"
5069,"“totally worth it. i would pay for four for a repeat performance. yes. even he suffers.
"
5070,"yes!” ryan performed a little jig.
"
5071,"“tt isn’t funny ryan. he must have been in shock,” alok said.
"
5072,"“so? not my problem. but i missed it. if only i was there,” ryan said.
"
5073,"“can we do the assignments for tomorrow then? do we have rac?” i said.
"
5074,"“yes, we do,” alok said, “so what is going on about the proposal?”
"
5075,"“t don’t know. neha told me cherian wasn’t so keen. let us talk to prof veera some time
"
5076,"next week.”
"
5077,"“the companies have arrived you know. i saw the recruitment notice board. many new
"
5078,"ones in the software sector,” alok said.
"
5079,"“no point looking at them yet. if the credits don’t work out, we’ll have another year to
"
5080,"think about it,” i said as we opened fresh sheets to do our assignment.
"
5081,"i slept at four that night. cherian’s face after he’d read the letter swam before me. sure, it
"
5082,"was somewhat funny as ryan said. but it was also sad. how could a strong man like
"
5083,"cherian get like that? what are these tough people really made of? and the way neha took
"
5084,"her father back, she must love him a lot. and cherian must have loved his son a lot, even
"
5085,"though he drove him mad enough to kill himself. do all parents love their kids? what about
"
5086,"ryan? did he love his parents? did they love him?
"
5087,"and then i got up. at four a.m. i had the urge to write a letter. maybe the havoc a letter
"
5088,"had wreaked that morning influenced me. i left kumaon and went to the computer centre.
"
5089,"the twenty-four hour center had students working away on their resumes. the job
"
5090,"interviews were coming, yes, but not for us.
"
5091,"dear dad and mom,
"
5092,"this is ryan. i am sorry for typing this. i just had to write tonight to tell you what has
"
5093,"been going on in my life. and not all of it is good. but if i don't tell you, who else will i
"
5094,"talk to... [kept writing for like two hours. i don’t think i made much sense at all times, but i
"
5095,"did write about a lot of things. about our gpas, our disco, our tainted grade sheets, prof
"
5096,"veera, and our stuck lube project. i also wrote about how they had never really loved me
"
5097,"enough to keep me with them. i kind of knew i was doing wrong, posing as ryan and typing
"
5098,"away his life story, his deepest secrets. simply said, ryan would kill me if he found out. but
"
5099,"i kept writing until daybreak. i thought ’'d done a good job with the text, better than ryan for
"
5100,"sure. when i finally took the printout, 1t was ten pages long. it was easy to fake ryan’s
"
5101,"signature, and his parents would hardly compare for identity. i had stolen the address from
"
5102,"ryan’s room. it took thirty rupees of stamps to mail the damn thing.
"
5103,"“where are you coming from,” ryan said as he noticed me come to my room at dawn.
"
5104,"“nothing. just went for a walk,” i said.
"
5105,"is lying bad?
"
5106,"26
"
5107,"meeting daddy
"
5108,"prof saxena had to interrupt his class that day. a peon had delivered a
"
5109,"message to him, which he read and then turned to the class.
"
5110,"“who are hari, ryan and alok?” he asked, fully aware we sat in the front row.
"
5111,"we duly raised our hands.
"
5112,"“go to prof cherian’s room. he wants to see you right now.”
"
5113,"i tried to be calm, but my heart was beating fast like it had a mind of its own. could it be
"
5114,"the end of the lube project? will cherian hold another disco? will he hand me over to
"
5115,"the police for buying neha an ice-cream? did he realize i paid for his bricks as well?
"
5116,"irrelevant thoughts darted back and forth until we reached cherian’ office, where i
"
5117,"noticed there was a new lock.
"
5118,"inside, prof shastri and prof veera sat next to prof cherian. no one asked us to sit down.
"
5119,"“sorry to bring you boys out of class. but just thought we’ll talk to you while we were
"
5120,"still together,” dean shastri said.
"
5121,"profs together is always trouble, i thought. we maintained a deep and meaningful silence.
"
5122,"“we have gone over your work with prof veera and your proposal, and we understand
"
5123,"you worked on it in your suspended semester,” prof shastri said.
"
5124,"we looked at prof veera.
"
5125,"“yes sir, they worked for three months 1n my lab,” prof veera said.
"
5126,"“now prof veera has made an appeal that we show your absence in the seventh semester
"
5127,"for research work instead of disciplinary reasons. is that right?”
"
5128,"we had promised ourselves not to say a word in that room. it was a simple question, but
"
5129,"we didn’t want any more trouble.
"
5130,"“answer dean shastri,” prof veera bade us.
"
5131,"“yes sir,” alok said.
"
5132,"i never made eye contact with cherian, but his silence was unnerving. why wasn’t the
"
5133,"kingpin in all this saying anything?
"
5134,"“then i guess you will have a clean grade sheet, right?” dean shastri said.
"
5135,"alok, ryan and i nodded.
"
5136,"“well, the final decision in these matters 1s with your head of department. and you well
"
5137,"know your mistakes are quite unpardonable. but this time, prof cherian has agreed to show
"
5138,"your seventh semester as a research semester.”
"
5139,"“what?” the three of us said in unison. sometimes, even good news can be a shock.
"
5140,"“yes, prof cherian has agreed. congratulations and good work,” prof veera said.
"
5141,"i looked at cherian for the first time. his face remained frozen, as if he was not part of
"
5142,"this room. what is up with him? has he tripped out on grass, i wondered. whatever the
"
5143,"reason, i wanted to get the hell out of that room before he changed his mind.
"
5144,"“thank you sir. thank you so much,” alok said.
"
5145,"“thank you sir. can we go sir?” i said.
"
5146,"“sure. we were leaving as well,” dean shastri said as he and prof veera stood up.
"
5147,"“by the way, how is this semester going?” dean shastri said.
"
5148,"“tt is okay sir. we are still five credits short,” i replied.
"
5149,"“short for what?” dean shastri said.
"
5150,"“we don’t have enough courses to finish the degree in four years. so we can’t apply for
"
5151,"any jobs or admissions,” i said.
"
5152,"“well, did you take a full course-load?” dean shastri said.
"
5153,"“of course. we have packed classes,” ryan said.
"
5154,"“well, again this is a departmental issue. that is why i tell these boys not to get into
"
5155,"disciplinary trouble,” dean shastri said and left the room.
"
5156,"prof veera patted my shoulder and left as well.
"
5157,"“thank you sir,” i said to cherian. i don’t know why i did it, kind of just felt like a good
"
5158,"exit line.
"
5159,"“hari, can you stay back for a minute,” prof cherian spoke for the first time.
"
5160,"“sure,” i said as alok and ryan gave me curious glances before vacating the room.
"
5161,"“sit down,” cherian said and pointing at a chair before him, he got up to lock the door.
"
5162,"why did he ask me to stay back? was he going to kill me?
"
5163,"“so five credits short, eh?” cherian said. so he was listening to what people had said in
"
5164,"his room.
"
5165,"“yes sir,” i said.
"
5166,"“you know if i sanction you all to work with prof veera this semester to follow through
"
5167,"on this project, we could get you laboratory credits.”
"
5168,"now what was that supposed to mean — ‘if i sanction’? was cherian just reminding me of
"
5169,"how much he controlled my fate. hell, i know that sir. i am just excited to have a clean
"
5170,"grade sheet for now. maybe one day after several years i might get a job. can i go now?
"
5171,"“what are you thinking?” cherian said.
"
5172,"“uh, nothing sir,” i said, returning hastily from my thoughts.
"
5173,"“t said i could get you lab credits, that is if you are ready to work on this project this
"
5174,"semester. i know you are already overloaded,” cherian said.
"
5175,"had cherian totally lost his mind? what was he saying? he was offering to rescue my
"
5176,"degree. and if i was ready to do some lab work. hell, i’d live in the lab for the next four
"
5177,"months for five extra credits. i’d eat lubricants for lunch to get my degree on time.
"
5178,"“t think we can manage some extra lab work, sir,” i said when my adam’s apple allowed
"
5179,"me.
"
5180,"“good. let me speak to prof veera and see what he can get you guys to do. if all is fine,
"
5181,"we'll add five credits to this sem.”
"
5182,"“for all of us sir? i mean, alok and ryan too.”
"
5183,"“yes, of course,” prof cherian said.
"
5184,"“thank you sir,” i said, wiping sweat off my forehead. this wasn’t a real moment.
"
5185,"“thank you, hari,” cherian dismissed me.
"
5186,"“for what?” i said.
"
5187,"“nothing. i think you should go back to prof saxena’s class. and start preparing for those
"
5188,"job interviews,” cherian said.
"
5189,"“of course, sir,” i said and stood up.
"
5190,"“and don’t behave in the interviews like you did in my viva,” prof cherian said and
"
5191,"started laughing. i tried to sense if there was malicious intent in his laughter, but he sounded
"
5192,"genuinely amused. i joined in the laughter.
"
5193,"“right sir,” i said and left his room grinning like an 1diot.
"
5194,"we had promised to drink less since the disco, but cherian’s news was huge and worth
"
5195,"intoxication.
"
5196,"“open the second bottle,” alok said, “today i am telling you ryan, open the second
"
5197,"bottle.”
"
5198,"“take it easy, fatso. we still have assignments and lab work, not to mention those job
"
5199,"interviews,” i said.
"
5200,"“how? how did you do it hari?” ryan said, by now already high.
"
5201,"“it didn’t do anything. i really thought he was going mad. but that 1s what he said.” i
"
5202,"shrugged.
"
5203,"“you are awesome man,” ryan said as he came forward and kissed my cheek. i hate it
"
5204,"when he does that.
"
5205,"“which is the next interview then alok?” i asked, pushing ryan away.
"
5206,"“okay guys, here is the deal,” alok said, taking out a file full of brochures of companies,
"
5207,"“we are five-pointers, remember? so a lot of these jobs won’t even short-list us.”
"
5208,"“t don’t care man. tell me any job that will,” ryan said.
"
5209,"“software. that 1s the hot sector this year. they hire in droves and don’t have gpa-based
"
5210,"short-listing criteria,” alok said.
"
5211,"“t love software,” ryan vouched.
"
5212,"“when is the interview?” i said.
"
5213,"“well, a good one is 1n three weeks. what do you say? all of us apply? who knows, we
"
5214,"can all be together,” alok said.
"
5215,"“we will be,” i said and raised my glass.
"
5216,"“cheers, to five credits,” we all said in unison.
"
5217,"the alarm rang at six am. the big interview day had arrived. for the first time that
"
5218,"semester, we skipped the first three classes. the last few weeks had been backbreaking
"
5219,"with prof veera’s lab work adding three hours to the already full fourteen hours a day
"
5220,"workload.
"
5221,"but today was the software company’s interview; the best chance for low-gpa students
"
5222,"like us to get employment.
"
5223,"“wake up, fatso. we need to dress up for these interviews,” i hollered.
"
5224,"“will we get it?” alok said.
"
5225,"“not if you stay in bed,” ryan said, pulling his quilt away.
"
5226,"itians really dress up for interviews. for the first time in four years, i wore a tie. it was
"
5227,"a weird tie, with orange spots on black or the other way round, i forget. but it had worked
"
5228,"for a senior last year and kumaonites considered it lucky. ryan had got a new italian silk tie
"
5229,"from his parents, bastard. for some reason, his gifts had increased the last few weeks. i
"
5230,"wondered if they had received my letter.
"
5231,"ryan’s scooter was now engineless, so we had to take an auto to the institute. we couldn’t
"
5232,"walk and spoil the creases on our shirts and trousers, as ryan pointed out.
"
5233,"“technosoft software inter views here,” said a sign in the insti building. there were over
"
5234,"fifty of us, all students from my batch dressed like we were attending our wedding.
"
5235,"“apparently, half the batch has already got jobs. this is the best chance for the under-
"
5236,"performers like us,” alok sighed.
"
5237,"i tried to think of the day when i had started relating so well to the word under-performer.
"
